DATE,WTISPLC
1991-01-01,24.9590
1991-02-01,20.5230
1991-03-01,19.860
1991-04-01,20.8230
1991-05-01,21.240
1991-06-01,20.1950
1991-07-01,21.420
1991-08-01,21.6880
1991-09-01,21.8570
1991-10-01,23.2280
1991-11-01,22.4650
1991-12-01,19.5170
1992-01-01,18.820
1992-02-01,18.9950
1992-03-01,18.9160
1992-04-01,20.2430
1992-05-01,20.940
1992-06-01,22.3750
1992-07-01,21.7590
1992-08-01,21.350
1992-09-01,21.9020
1992-10-01,21.6880
1992-11-01,20.3420
1992-12-01,19.4070
1993-01-01,19.0750
1993-02-01,20.0530
1993-03-01,20.3470
1993-04-01,20.270
1993-05-01,19.940
1993-06-01,19.070
1993-07-01,17.8660
1993-08-01,18.0090
1993-09-01,17.5140
1993-10-01,18.1450
1993-11-01,16.6990
1993-12-01,14.510
1994-01-01,15.000
1994-02-01,14.780
1994-03-01,14.660
1994-04-01,16.380
1994-05-01,17.880
1994-06-01,19.070
1994-07-01,19.650
1994-08-01,18.380
1994-09-01,17.460
1994-10-01,17.710
1994-11-01,18.100
1994-12-01,17.160
1995-01-01,17.990
1995-02-01,18.530
1995-03-01,18.550
1995-04-01,19.870
1995-05-01,19.740
1995-06-01,18.420
1995-07-01,17.300
1995-08-01,18.030
1995-09-01,18.230
1995-10-01,17.440
1995-11-01,17.990
1995-12-01,19.040
1996-01-01,18.880
1996-02-01,19.070
1996-03-01,21.360
1996-04-01,23.570
1996-05-01,21.250
1996-06-01,20.450
1996-07-01,21.320
1996-08-01,21.960
1996-09-01,23.990
1996-10-01,24.900
1996-11-01,23.710
1996-12-01,25.390
1997-01-01,25.170
1997-02-01,22.210
1997-03-01,20.990
1997-04-01,19.720
1997-05-01,20.830
1997-06-01,19.170
1997-07-01,19.630
1997-08-01,19.930
1997-09-01,19.790
1997-10-01,21.260
1997-11-01,20.170
1997-12-01,18.320
1998-01-01,16.710
1998-02-01,16.060
1998-03-01,15.020
1998-04-01,15.440
1998-05-01,14.860
1998-06-01,13.660
1998-07-01,14.080
1998-08-01,13.360
1998-09-01,14.950
1998-10-01,14.390
1998-11-01,12.850
1998-12-01,11.280
1999-01-01,12.470
1999-02-01,12.010
1999-03-01,14.660
1999-04-01,17.340
1999-05-01,17.750
1999-06-01,17.890
1999-07-01,20.070
1999-08-01,21.260
1999-09-01,23.880
1999-10-01,22.640
1999-11-01,24.970
1999-12-01,26.080
2000-01-01,27.180
2000-02-01,29.350
2000-03-01,29.890
2000-04-01,25.740
2000-05-01,28.780
2000-06-01,31.830
2000-07-01,29.770
2000-08-01,31.220
2000-09-01,33.880
2000-10-01,33.080
